cod_CA	name_ca	cod_pro	name_pro
01	Andalucía	04	Almería
01	Andalucía	11	Cádiz
01	Andalucía	14	Córdoba
01	Andalucía	18	Granada
01	Andalucía	21	Huelva
01	Andalucía	23	Jaén
01	Andalucía	29	Málaga
01	Andalucía	41	Sevilla
02	Aragón	22	Huesca
02	Aragón	44	Teruel
02	Aragón	50	Zaragoza
03	Principado de Asturias	33	Asturias
04	Islas Baleares	07	Islas Baleares
05	Canarias	35	Las Palmas
05	Canarias	38	Santa Cruz de Tenerife
06	Cantabria	39	Cantabria
07	Castilla y León	05	Ávila
07	Castilla y León	09	Burgos
07	Castilla y León	24	León
07	Castilla y León	34	Palencia
07	Castilla y León	37	Salamanca
07	Castilla y León	40	Segovia
07	Castilla y León	42	Soria
07	Castilla y León	47	Valladolid
07	Castilla y León	49	Zamora
08	Castilla-La Mancha	02	Albacete
08	Castilla-La Mancha	13	Ciudad Real
08	Castilla-La Mancha	16	Cuenca
08	Castilla-La Mancha	19	Guadalajara
08	Castilla-La Mancha	45	Toledo
09	Cataluña	08	Barcelona
09	Cataluña	17	Girona
09	Cataluña	25	Lleida
09	Cataluña	43	Tarragona
10	Comunitat Valenciana	03	Alicante
10	Comunitat Valenciana	12	Castellón
10	Comunitat Valenciana	46	Valencia
11	Extremadura	06	Badajoz
11	Extremadura	10	Cáceres
12	Galicia	15	A Coruña
12	Galicia	27	Lugo
12	Galicia	32	Ourense
12	Galicia	36	Pontevedra
13	Comunidad de Madrid	28	Madrid
14	Región de Murcia	30	Murcia
15	Comunidad Foral de Navarra	31	Navarra
16	País Vasco	01	Álava
16	País Vasco	48	Bizkaia
16	País Vasco	20	Gipuzkoa
17	La Rioja	26	La Rioja
18	Ceuta	51	Ceuta
19	Melilla	52	Melilla
